2021-11-11.14:28:48:  Initializing Epsilon Engine
2021-11-11.14:28:49:  Fragment shader: shaders/ShadowMappingf.glsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/vertex.glsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/fragment.frag was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/TransformVertexShader.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/TextureFragmentShader.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/defaultParticle.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/defaultParticle.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/Cloth.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/Cloth.fglsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/ImGui_gamma_correct_vertex.glsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/ImGui_gamma_correct_fragment.glsl was successfully compiled.
2021-11-11.14:28:49:  Vertex shader: shaders/SSAO.vglsl was successfully compiled.
2021-11-11.14:28:49:  Fragment shader: shaders/HBIL.glsl was successfully compiled.
2021-11-11.14:28:50:  Vertex shader: shaders/BezierCurve.vert.glsl was successfully compiled.
2021-11-11.14:28:50:  Fragment shader: shaders/BezierCurve.frag.glsl was successfully compiled.
2021-11-11.14:28:50:  Vertex shader: shaders/BezierCurveNormal.vert.glsl was successfully compiled.
2021-11-11.14:28:50:  Fragment shader: shaders/BezierCurve.frag.glsl was successfully compiled.
2021-11-11.14:28:50:  Vertex shader: shaders/Geometry.vglsl was successfully compiled.
2021-11-11.14:28:50:  Fragment shader: shaders/Geometry.fglsl was successfully compiled.
2021-11-11.14:28:50:  Vertex shader: shaders/Cloth.vglsl was successfully compiled.
2021-11-11.14:28:50:  Fragment shader: shaders/Cloth.fglsl was successfully compiled.
2021-11-11.14:28:50:  Vertex shader: shaders/vertex.glsl was successfully compiled.
2021-11-11.14:28:50:  Fragment shader: shaders/fragment.frag was successfully compiled.
2021-11-11.14:28:50:  Vertex shader: shaders/PointShadow.vert was successfully compiled.
2021-11-11.14:28:50:  Fragment shader: shaders/PointShadow.frag was successfully compiled.
2021-11-11.14:28:50:  Model: models/sphere.eml Loaded.
2021-11-11.14:28:50:  Vertex shader: shaders/water.vglsl was successfully compiled.
2021-11-11.14:28:50:  Fragment shader: shaders/water.fglsl was successfully compiled.
2021-11-11.14:28:50:  Texture: materials/Wavy_Water_n.pngData Loaded.
2021-11-11.14:28:50:  Texture: Wavy_Water_n.png Loaded.
2021-11-11.14:28:50:  Texture: materials/waterDUDV.pngData Loaded.
2021-11-11.14:28:50:  Texture: waterDUDV.png Loaded.
2021-11-11.14:28:50:  Texture: materials/fog_texture_by_finding_the_time-d637xrm.pngData Loaded.
2021-11-11.14:28:50:  Texture: fog_texture_by_finding_the_time-d637xrm.png Loaded.
2021-11-11.14:28:50:  Texture: materials/4141-diffuse.jpgData Loaded.
2021-11-11.14:28:50:  Texture: 4141-diffuse.jpg Loaded.
2021-11-11.14:28:50:  Texture: materials/Sun.pngData Loaded.
2021-11-11.14:28:50:  Texture: Sun.png Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/hellknight.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/hellknight.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/hellknight_n.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/hellknight_n.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/hellknight_s.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/hellknight_s.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/hellknight_m.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/hellknight_m.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/gob2.tgaData Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/gob2_n.tgaData Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/gob2_s.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/gob2_s.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/gob2_m.tgaData Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/tongue.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/tongue.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/tongue_n.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/tongue_n.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/tongue_s.tgaData Loaded.
2021-11-11.14:28:50:  Texture: models/monsters/hellknight/tongue_s.tga Loaded.
2021-11-11.14:28:50:  Texture: materials/models/monsters/hellknight/tongue_m.tgaData Loaded.
2021-11-11.14:28:53:  Model: models/cube.eml Loaded.
2021-11-11.14:28:53:  Vertex shader: shaders/gizmo_vertex.glsl was successfully compiled.
2021-11-11.14:28:53:  Fragment shader: shaders/gizmo_fragment.glsl was successfully compiled.
2021-11-11.14:28:53:  Model: models/UI/gizmos.eml Loaded.
2021-11-11.14:28:53:  Model: models/rocket.eml Loaded.
2021-11-11.14:28:55:  Vertex shader: shaders/Lighting.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/Lighting.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/SSAO.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/HBAO.glsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/blurSSAO.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/blurSSAO.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/hdr.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/hdr.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/blurBloom.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/blurBloom.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/blurSSR.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/blurSSR.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/SSR.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/SSR.glsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/PassThrough.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/PassThrough.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/MotionBlur.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/MotionBlur.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/Composite.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/Composite.fglsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/Composite.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/BRDF.glsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/Composite.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/denoise.glsl was successfully compiled.
2021-11-11.14:28:55:  Vertex shader: shaders/Composite.vglsl was successfully compiled.
2021-11-11.14:28:55:  Fragment shader: shaders/TAA.glsl was successfully compiled.
2021-11-11.14:28:55:  Texture: materials/effects/lenscolor2.pngData Loaded.
2021-11-11.14:28:55:  Texture: effects/lenscolor2.png Loaded.
2021-11-11.14:28:55:  Texture: materials/effects/lensdirt.pngData Loaded.
2021-11-11.14:28:55:  Texture: effects/lensdirt.png Loaded.
2021-11-11.14:28:56:  Texture: materials/effects/lensstar.pngData Loaded.
2021-11-11.14:28:56:  Texture: effects/lensstar.png Loaded.
2021-11-11.14:28:56:  Texture: materials/LDR_RGBA_0_n.pngData Loaded.
2021-11-11.14:28:56:  Texture: LDR_RGBA_0_n.png Loaded.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:56:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:56:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:57:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:57:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:58:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:58:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:28:59:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:28:59:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:00:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:00:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:01:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:01:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:02:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:02:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
